EP, 07, 2021071600, TR, GPCC,  36, 156N, 1079W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, GPCC,  48, 163N, 1105W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, GPCC,  60, 169N, 1127W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, GPCC,  72, 177N, 1152W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, GPCC,  96, 188N, 1205W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, GPCC, 120, 193N, 1255W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, TVCN,  12, 128N, 1009W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, TVCN,  24, 144N, 1046W,  68,   40,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, TVCN,  36, 156N, 1079W,  68,   56,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, TVCN,  48, 163N, 1105W,  68,   66,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, TVCN,  60, 169N, 1127W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, TVCN,  72, 177N, 1152W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, TVCN,  96, 188N, 1205W,  68,   95,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, TVCN, 120, 193N, 1255W,  68,  121,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, WR, RVCN,   0, 106N,  980W,  68,   0, 34,    0, 
EP, 07, 2021071600, WR, RVCN,  12, 128N, 1009W,  68,  70, 34,   52, 
