EP, 13, 2021082218, TR, GPCC,  12, 202N, 1106W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, GPCC,  24, 206N, 1136W,  68,   37,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, GPCC,  36, 204N, 1161W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, GPCC,  48, 202N, 1181W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, GPCC,  60, 200N, 1200W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, GPCC,  72, 196N, 1220W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, GPCC,  96, 191N, 1264W,  68,  115,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, GPCC, 120, 177N, 1311W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, GPCC, 144, 136N, 1351W,  68,  186,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, TVCN,  12, 202N, 1106W,  68,   31,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, TVCN,  24, 206N, 1136W,  68,   45,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, TVCN,  36, 204N, 1161W,  68,   59,   ,   0,    ,    0,    0,    0,    0, 
EP, 13, 2021082218, TR, TVCN,  48, 202N, 1181W,  68,   74,   ,   0,    ,    0,    0,    0,    0, 
